country_name,country_code,indicator_name,indicator_code,category,year,value
Greece,GRC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1974,26.5608465867349
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1974,28.5987340775089
Iraq,IRQ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1974,7.69999999976928
Italy,ITA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1974,19.1597695854699
Jordan,JOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1974,19.4277108435204
Kuwait,KWT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1974,12.9926108375187
Saudi Arabia,SAU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1974,21.4370078736641
Turkiye,TUR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1974,23.8981615766705
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1974,11.0548048048048
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1975,15.1624202011615
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1975,10.672188595094
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1975,5.91033626324104
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1975,9.66969548151245
Euro area,EMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1975,12.2270629206872
European Union,EUU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1975,10.467575830612
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1975,11.6859272493228
United Kingdom,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1975,24.2072876743291
Greece,GRC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1975,13.6287617821755
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1975,5.74843029767442
Iraq,IRQ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1975,9.51717734405529
Italy,ITA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1975,16.9505025668306
Jordan,JOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1975,11.9798234553088
Kuwait,KWT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1975,8.39237057218445
Saudi Arabia,SAU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1975,34.5761063381485
