t,i,j,k,v,q
2021,784,818,300490,29083.612,223.606
2021,784,818,330210,3630.895,39.3
2021,784,818,711319,57030.49,1.334
2021,792,276,280920,1.602,0.132
2021,792,276,300490,47919.608,651.905
2021,792,276,330210,2395.18,232.441
2021,792,276,711319,132713.004,3.959
2021,792,400,280920,1.299,0.7
2021,792,400,300490,2810.162,1318.35
2021,792,400,330210,2565.941,199.482
2021,792,400,711319,10435.947,0.235
2021,792,634,300490,8431.118,701.807
2021,792,634,330210,27.499,5.529
2021,792,634,711319,27742.22,0.744
2021,792,682,300490,626.898,29.605
2021,792,682,711319,314.817,0.081
2021,792,784,300490,12997.329,1349.498
2021,792,784,330210,2566.399,237.12
2021,792,784,711319,1623673.353,41.51
2021,792,818,280920,17.302,3.449
2021,792,818,300490,7318.795,200.875
2021,792,818,330210,2193.848,207.738
2021,792,818,711319,209973.299,4.801
2021,818,276,300490,1003.389,639.888
2021,818,276,310311,777.552,2654.95
2021,818,276,330210,29.154,2.737
2021,818,276,711319,7.25,
2021,818,400,300490,5468.636,
2021,818,400,310311,17.024,38.837
2021,818,400,330210,1646.676,91.995
2021,818,400,711319,37.827,0.001
2021,818,634,300490,46.189,9.151
2021,818,682,300490,19245.617,855.458
2021,818,682,330210,3079.207,410.682
2021,818,682,711319,0.563,0.002
2021,818,784,300490,7445.112,680.604
2021,818,784,330210,841.334,92.523
2021,818,784,711319,19025.954,0.477
2022,300,276,280920,59.069,20.04
2022,300,276,300490,361574.374,10146.689
2022,300,276,330210,55.014,0.756
2022,300,276,711319,968.067,0.38
2022,300,400,300490,7248.435,1067.604
2022,300,400,330210,20.666,9.499
2022,300,400,711319,6.465,0.003
2022,300,634,300490,2368.764,28.093
2022,300,634,711319,451.948,0.006
2022,300,682,300490,7985.024,111.536
2022,300,682,330210,128.779,23.804
2022,300,682,711319,57.473,0.01
2022,300,784,300490,12526.331,453.128
2022,300,784,330210,7.25,0.9
2022,300,784,711319,379.891,0.048
2022,300,818,300490,2745.106,100.298
2022,300,818,330210,107.797,6.205
2022,380,276,280920,2149.902,959.886
2022,380,276,300490,1894550.43,20388.177
2022,380,276,330210,7626.551,1071.367
2022,380,276,711319,190731.84,6.438
2022,380,400,300490,35296.187,756.046
2022,380,400,330210,80.684,3.304
2022,380,400,711319,63417.447,1.98
2022,380,634,300490,20737.953,319.505
2022,380,634,330210,2.898,0.095
2022,380,634,711319,57239.661,0.819
2022,380,682,280920,3.024,1.2
2022,380,682,300490,166870.509,3249.477
2022,380,682,330210,835.434,38.125
2022,380,682,711319,25192.582,0.526
2022,380,784,300490,204478.729,4024.855
2022,380,784,330210,1032.959,60.016
2022,380,784,711319,1230329.684,36.142
2022,380,818,280920,20.294,5.74
2022,380,818,300490,9636.842,159.888
2022,380,818,330210,243.796,11.328
2022,380,818,711319,15340.524,0.328
2022,400,276,300490,65.321,1.464
2022,400,276,330210,2.416,0.198
2022,400,276,711319,210.462,0.01
2022,400,634,280920,47.392,49.874
2022,400,634,300490,20390.447,392.817
2022,400,634,310311,128.376,150.0
2022,400,634,330210,5.592,0.33
2022,400,682,280920,8975.756,7809.782
2022,400,682,300490,102629.493,1830.554
2022,400,682,330210,173.835,34.098
2022,400,682,711319,1834.922,0.022
2022,400,784,280920,148.321,80.338
2022,400,784,300490,44064.574,389.604
2022,400,784,330210,96.844,5.541
2022,400,784,711319,8114.344,0.225
2022,400,818,280920,3639.64,2542.847
2022,400,818,300490,15908.781,
2022,400,818,330210,0.041,0.002
2022,400,818,711319,0.222,
2022,422,276,300490,23.217,0.095
2022,422,276,330210,7.578,4.053
2022,422,276,711319,615.692,0.008
2022,422,400,300490,2990.366,82.444
2022,422,400,330210,8.681,0.499
2022,422,400,711319,12313.121,0.217
2022,422,634,300490,1167.972,13.043
2022,422,634,711319,4313.058,26.404
2022,422,784,300490,14101.004,123.749
2022,422,784,330210,22.847,10.257
2022,422,784,711319,202289.409,2.79
2022,422,818,300490,110.389,0.18
2022,422,818,330210,4.673,0.242
2022,422,818,711319,245.467,0.006
2022,682,276,300490,464.453,0.313
2022,682,276,330210,0.046,0.001
2022,682,276,711319,5.716,
2022,682,400,280920,72.75,75.0
2022,682,400,300490,16517.358,3050.771
2022,682,400,711319,2.155,
2022,682,634,280920,21.705,4.15
2022,682,634,300490,57.807,0.228
2022,682,634,711319,7508.73,0.018
2022,682,784,280920,7.373,0.7
2022,682,784,300490,119465.168,3716.733
2022,682,784,330210,46.744,0.56
2022,682,784,711319,80656.223,0.888
2022,682,818,300490,40420.491,639.674
2022,682,818,330210,3.153,0.254
2022,682,818,711319,62.026,0.003
2022,784,276,280920,232.371,77.0
2022,784,276,300490,61.631,3.734
2022,784,276,330210,545.274,16.286
2022,784,276,711319,8858.469,0.225
2022,784,400,280920,82.323,34.791
2022,784,400,300490,45508.142,911.868
2022,784,400,330210,262.709,81.99
2022,784,400,711319,246534.784,8.488
2022,784,634,280920,0.698,0.009
2022,784,634,300490,125455.424,928.494
2022,784,634,330210,127.301,2.351
2022,784,634,711319,610574.11,10.728
2022,784,682,280920,110.695,76.607
2022,784,682,300490,88765.259,2904.349
2022,784,682,330210,15419.947,265.045
2022,784,682,711319,734970.195,21.143
2022,784,818,280920,63.867,31.225
2022,784,818,300490,23099.004,786.596
2022,784,818,330210,4585.373,243.159
2022,784,818,711319,47273.938,1.241
2022,792,276,280920,4375.533,1668.019
2022,792,276,300490,67390.961,846.959
2022,792,276,330210,8104.717,421.311
2022,792,276,711319,104737.857,2.134
2022,792,400,280920,0.828,0.903
2022,792,400,300490,3339.545,1358.22
2022,792,400,330210,1651.01,184.675
2022,792,400,711319,46511.983,1.226
2022,792,634,280920,22.447,10.68
2022,792,634,300490,5328.573,213.657
2022,792,634,330210,36.062,4.2
2022,792,634,711319,24929.718,0.631
2022,792,682,300490,835.44,46.655
2022,792,682,330210,115.618,14.404
2022,792,682,711319,21003.693,0.468
2022,792,784,280920,39.991,14.003
2022,792,784,300490,14426.466,1176.269
2022,792,784,330210,2101.023,1315.834
2022,792,784,711319,2035373.972,56.11
2022,792,818,280920,442.044,209.845
2022,792,818,300490,4796.343,234.293
2022,792,818,330210,3278.333,297.846
2022,792,818,711319,165789.386,3.806
2022,818,276,300490,217.224,181.548
2022,818,276,330210,60.28,2.035
2022,818,276,711319,18.662,0.001
2022,818,400,300490,6258.869,
2022,818,400,310311,236.088,297.22
2022,818,400,330210,1786.566,134.78
2022,818,400,711319,69.194,
2022,818,634,300490,17.717,5.074
2022,818,634,711319,49.44,0.014
2022,818,682,280920,274.062,229.559
2022,818,682,300490,31460.157,1249.571
2022,818,682,330210,25337.856,855.308
2022,818,682,711319,142.751,0.009
2022,818,784,300490,6693.919,626.755
2022,818,784,310311,37.332,55.02
2022,818,784,330210,9012.214,254.107
2022,818,784,711319,1800.13,0.056
2023,300,276,300490,321776.574,11726.996
2023,300,276,330210,53.025,0.129
2023,300,276,711319,735.967,0.37
2023,300,400,300490,11305.027,1767.771
2023,300,400,330210,16.158,0.944
2023,300,634,300490,2305.422,12.215
2023,300,634,711319,190.787,0.009
2023,300,682,300490,8794.784,228.423
2023,300,682,330210,33.422,2.346
2023,300,682,711319,46.548,0.01
2023,300,784,300490,21052.847,972.566
2023,300,784,711319,195.577,0.024
2023,300,818,300490,2539.346,58.477
2023,300,818,330210,182.157,9.142
2023,300,818,711319,44.471,0.001
2023,380,276,280920,412.8,404.975
2023,380,276,300490,1802780.612,28691.31
2023,380,276,330210,9680.792,935.74
2023,380,276,711319,172203.904,5.506
2023,380,400,300490,24819.441,1061.87
2023,380,400,330210,99.83,4.438
2023,380,400,711319,62209.985,1.601
2023,380,634,280920,2.374,0.118
2023,380,634,300490,18085.424,247.638
2023,380,634,330210,128.698,3.25
2023,380,634,711319,46970.146,0.171
2023,380,682,300490,263261.018,3782.322
2023,380,682,330210,1141.571,52.358
2023,380,682,711319,39918.702,0.279
2023,380,784,280920,0.329,0.067
2023,380,784,300490,253308.316,4122.215
2023,380,784,330210,565.553,37.512
2023,380,784,711319,1324059.31,34.462
2023,380,818,280920,25.146,26.092
2023,380,818,300490,30175.067,786.373
2023,380,818,330210,266.784,8.084
2023,380,818,711319,18420.12,0.446
2023,400,276,300490,149.775,3.362
2023,400,276,330210,4.522,1.125
2023,400,276,711319,133.398,0.021
2023,400,634,280920,33.527,23.186
2023,400,634,300490,27558.652,
2023,400,634,310311,15.708,32.048
2023,400,682,280920,4583.596,3973.0
2023,400,682,300490,104096.172,
2023,400,682,330210,153.186,10.268
2023,400,682,711319,1313.468,0.021
2023,400,784,280920,149.781,111.963
2023,400,784,300490,49148.688,500.09
2023,400,784,330210,35.103,1.999
2023,400,784,711319,11659.834,0.284
2023,400,818,280920,4739.184,3489.615
2023,400,818,300490,16970.587,
2023,400,818,310311,40.021,86.593
2023,400,818,330210,10.647,0.48
2023,400,818,711319,39.079,0.001
2023,422,276,300490,0.479,0.005
2023,422,276,330210,6.945,4.102
2023,422,276,711319,54.199,0.002
2023,422,400,300490,3783.507,
2023,422,400,330210,30.319,1.727
2023,422,400,711319,6555.657,0.137
2023,422,634,300490,1258.366,
2023,422,634,330210,12.18,0.758
2023,422,634,711319,1262.472,0.024
2023,422,682,711319,4.244,
2023,422,784,300490,14371.355,120.027
2023,422,784,330210,1.147,0.579
2023,422,784,711319,223275.066,2.934
2023,422,818,300490,173.708,
2023,422,818,330210,3.473,0.21
2023,422,818,711319,236.381,0.005
2023,682,276,300490,27.4,0.029
2023,682,276,711319,3.971,
2023,682,400,300490,21997.591,
2023,682,400,711319,1781.093,
2023,682,634,280920,2.503,1.838
2023,682,634,300490,487.735,
2023,682,634,711319,31675.937,0.662
2023,682,784,280920,6.572,2.254
2023,682,784,300490,145032.659,4197.89
2023,682,784,330210,135.727,81.147
2023,682,784,711319,58799.657,1.41
2023,682,818,300490,17030.954,
2023,682,818,330210,1.447,0.087
2023,682,818,711319,0.455,
2023,784,276,300490,448.838,1.78
2023,784,276,330210,69.115,5.46
2023,784,276,711319,12689.537,0.285
2023,784,400,300490,3012.238,1262.37
2023,784,400,330210,346.101,138.002
2023,784,400,711319,197736.782,6.68
2023,784,634,280920,22.168,17.873
2023,784,634,300490,119122.995,974.893
2023,784,634,330210,97.451,4.775
2023,784,634,711319,43342.854,9.433
2023,784,682,280920,2.161,0.988
2023,784,682,300490,117938.534,732.37
2023,784,682,330210,18101.568,915.399
2023,784,682,711319,450736.368,21.304
2023,784,818,280920,40.935,30.83
